Restaurant Name,Types of Food,Rating1,Ratings2,Price,Discount
Om Best Paratha,North Indian,4.0,,₹200 FOR TWO,40% off | Use GUILTFREE
Haldiram's Sweets and Namkeen,"Sweets, Bakery, Desserts",4.2,,₹300 FOR TWO,
Angaara 5,"Tandoor, Biryani, Chinese",4.0,,₹400 FOR TWO,20% off | Use TRYNEW
Kunafa Nation,Desserts,4.0,,₹229 FOR TWO,20% off | Use TRYNEW
G Pulla Reddy Sweets,"Sweets, Desserts, Snacks",4.5,,₹300 FOR TWO,
Sri Santosh Dhaba,"Biryani, North Indian, Chinese, Tandoor, Beverages",,3.9,₹350 FOR TWO,20% off | Use TRYNEW
Jaggu Mithai,"Desserts, Biryani, Chaat",4.2,,₹250 FOR TWO,10% off | Use TRYNEW
Saptami Grand - Udupi Veg Restaurant,"South Indian, Chinese, Desserts",4.3,,₹200 FOR TWO,FLAT100 off | Use FLATDEAL
Rambharose - Bhattad Ki Idli,South Indian,4.1,,₹150 FOR TWO,40% off | Use GUILTFREE
Mandi @36,Arabian,4.0,,₹1000 FOR TWO,20% off | Use TRYNEW
Taj Mahal Hotel,"North Indian, Chinese, South Indian, Tandoor",4.2,,₹300 FOR TWO,
Papaji's Kitchen,North Indian,4.2,,₹250 FOR TWO,30% off | Use TRYNEW
Sharmaji Pav bhaji,"Chaat, North Indian, Chinese",,3.9,₹200 FOR TWO,15% off | Use PARTY
Sri Siddhartha Tiffins and Meals,"Beverages, South Indian",4.4,,₹150 FOR TWO,
Venkateshwara Fast Food,"Indian, Chinese, South Indian",4.1,,₹150 FOR TWO,
Big Bowl,"Chinese, Asian",,3.7,₹250 FOR TWO,FLAT125 off | Use FLATDEAL
Nikhils hot&spice chinees fast food,Chinese,4.1,,₹300 FOR TWO,10% off | Use PARTY
Zam Zam Fast Food,Chinese,,3.7,₹200 FOR TWO,40% off | Use GUILTFREE
Domino's Pizza,"Pizzas, Italian, Pastas, Desserts",4.3,,₹400 FOR TWO,
FANCY ICE CREAM,"Ice Cream, Desserts",4.0,,₹40 FOR TWO,15% off | Use TRYNEW
The Thick Shake Factory,"Beverages, American, Burgers",4.0,,₹200 FOR TWO,20% off | Use TRYNEW
Natural Ice Cream,"Ice Cream, Desserts",4.5,,₹150 FOR TWO,20% off | Use SWIGGYIT
Tipsy Topsy,"Chinese, Italian, Desserts, Bakery",,3.8,₹250 FOR TWO,25% off | Use PARTY
Biryani Culture,"Biryani, Chinese, Desserts",4.0,,₹200 FOR TWO,20% off | Use TRYNEW
Almond House,"Sweets, Desserts, Snacks",4.6,,₹800 FOR TWO,
Green Bucket Biryani Ramanthapur,Biryani,,3.9,₹450 FOR TWO,
Lassi Shop,"Juices, Ice Cream",,3.1,₹100 FOR TWO,
TRAFFIC MANDI HOUSE,"Arabian, Indian",,3.6,₹400 FOR TWO,
Maa Santosh Dhaba,"North Indian, Chinese",4.2,,₹400 FOR TWO,Free Green Salad on orders above ₹529
King's Palace Family Restaurant,"Street Food, Chinese",,3.5,₹300 FOR TWO,40% off | Use TRYNEW
Urban Munchies (US Pizza),"Pizzas, Beverages, Desserts",,3.5,₹300 FOR TWO,30% off | Use JUMBO
Nrs Nandini,South Indian,4.3,,₹150 FOR TWO,20% off | Use TRYNEW
Sri Santosh Family Dhaba,Sweets,4.1,,₹100 FOR TWO,40% off | Use TRYNEW
Ms mandi and shawarma,Indian,,3.7,₹240 FOR TWO,10% off | Use TRYNEW
FENG SHUI LOCAL DABHA,"Bhutanese, Chinese, Tandoor",,,₹300 FOR TWO,
La Milano Pizzeria,"Pizzas, Italian, Mexican, Fast Food, Desserts",,3.8,₹400 FOR TWO,50% off | Use SPECIALS
Captain Cook,"Chinese, Tandoor, Salads, Arabian",,3.7,₹700 FOR TWO,FLAT100 off | Use FLATDEAL
Bikanervala,"Sweets, North Indian, Chinese, South Indian",4.3,,₹500 FOR TWO,
Sri Siddhi Vinayaka Tiffins and Meals,South Indian,4.2,,₹100 FOR TWO,15% off | Use PARTY
Deccan Chef,"Haleem, Biryani, Mughlai, Chinese, Indian",4.1,,₹150 FOR TWO,Flat ₹125 off on orders above ₹249
Juice World,Juices,,3.9,₹150 FOR TWO,20% off | Use TRYNEW
Sri Sai Chat Bhandar,Chaat,,3.8,₹100 FOR TWO,10% off | Use TRYNEW
Mohammedia Shawarma,"Arabian, Lebanese, Street Food",,3.8,₹300 FOR TWO,
Tibb's Frankie,"Snacks, Indian, Fast Food",4.2,,₹140 FOR TWO,10% off | Use TRYNEW
Chickpet Donne Biryani House,Biryani,,3.8,₹400 FOR TWO,15% off | Use PARTY
The Healthy Grub,"Healthy Food, Biryani, Chinese, Beverages",,,₹300 FOR TWO,50% off | Use TRYNEW
Raju Gari Pulao,Biryani,,3.2,₹300 FOR TWO,30% off | Use TRYNEW
CakeZone,"Bakery, Desserts, Sweets, Ice Cream",4.2,,₹200 FOR TWO,FLAT150 off | Use FLATDEAL
Black Pearl - Hotel Central Park,"North Indian, Chinese, Indian",,3.7,₹300 FOR TWO,50% off | Use TRYNEW
Scoops,"Ice Cream, Desserts, Beverages",4.5,,₹200 FOR TWO,40% off | Use GUILTFREE
Fruitfull,Healthy Food,4.2,,₹150 FOR TWO,20% off | Use TRYNEW
HARSHA DELUXE MESS,Indian,,3.8,₹400 FOR TWO,
Balaji Mithai bhandar,Sweets,4.1,,₹300 FOR TWO,
Amay Tiffin Corner (Amul),South Indian,4.0,,₹100 FOR TWO,30% off | Use TRYNEW
Grand Bavarchi Restaurant,"Biryani, Chinese, North Indian, Mughlai",,3.6,₹300 FOR TWO,
Sattipandu Biryani,Biryani,,3.4,₹350 FOR TWO,20% off | Use TRYNEW
Graduate's Arabian Mandi,Indian,4.1,,₹450 FOR TWO,20% off | Use TRYNEW
Apoorva mess,North Indian,4.0,,₹300 FOR TWO,15% off | Use PARTY
Bhagmati Biryani,"Biryani, Telangana",,3.7,₹250 FOR TWO,15% off | Use JUMBO
