Restaurant Name,Types of Food,Price,Discount,Rating,Discount_Percentage,Coupon_Code
Shree Golden Palace Restaurant,"Indian, Chinese, Biryani",250.0,FLAT100 off | Use FLATDEAL,3.9,20.0,FLATDEAL
Geethagari vantalu,Andhra,200.0,10% off | Use PARTY,3.9,20.0,PARTY
Meghacity,"South Indian, Biryani, North Indian, Chinese, Seafood, Beverages",500.0,,4.4,20.0,
Biryani By Kilo,"Biryani, Hyderabadi, North Indian, Kebabs, Mughlai, Desserts",300.0,50% off | Use TRYNEW,3.6,20.0,TRYNEW
Sri Raghavendra Curry Express,"South Indian, Andhra",200.0,10% off | Use PARTY,4.4,20.0,PARTY
Bakingo,Bakery,300.0,,4.3,20.0,
Siddi Fast Food,"Chinese, Pastas, North Indian, South Indian",150.0,10% off | Use TRYNEW,3.9,20.0,TRYNEW
Lakshman Ki Bandi,South Indian,150.0,20% off | Use TRYNEW,4.1,20.0,TRYNEW
Dadu's,"Sweets, Desserts, Chaat, Snacks, Bakery",350.0,20% off | Use TRYNEW,4.4,20.0,TRYNEW
Sri Balaji Family Dhaba - Ramkote,"Biryani, North Indian, Chinese, Indian, Punjabi",200.0,40% off | Use GUILTFREE,4.0,20.0,GUILTFREE
Bheemas Grand,South Indian,150.0,50% off | Use TRYNEW,4.0,20.0,TRYNEW
Onesta,"Italian, Desserts, Pizzas, American, Snacks",200.0,FLAT150 off | Use FLATDEAL,3.7,20.0,FLATDEAL
Dwaraka Restaurant,"North Indian, Chinese, South Indian",250.0,20% off | Use TRYNEW,4.3,20.0,TRYNEW
New Astoria Restaurant,"Chinese, Biryani",450.0,,3.9,20.0,
The Southern Palate,"South Indian, Biryani",350.0,40% off | Use TRYNEW,3.9,20.0,TRYNEW
Nandu Fresh Fruit Juice Centre,Beverages,250.0,FLAT100 off | Use FLATDEAL,3.8,20.0,FLATDEAL
Al Akbar Fast Food,"Chinese, North Indian",200.0,20% off | Use TRYNEW,4.0,20.0,TRYNEW
Haldiram's Restaurant,"Indian, Biryani, Snacks, Beverages",300.0,50% off | Use TRYNEW,4.2,20.0,TRYNEW
The Bowl Company,"Pan-Asian, Continental, North Indian, Desserts, American, Asian, Beverages, Biry...",300.0,60% off | Use TRYNEW,4.1,20.0,TRYNEW
Kwality Walls Frozen Dessert and Ice Cream Shop,"Desserts, Ice Cream, Ice Cream Cakes",200.0,,4.4,20.0,
Hotel Sohail Waves,"Arabian, Tandoor, Mughlai, Biryani, North Indian",500.0,10% off | Use PARTY,4.1,20.0,PARTY
Agra Sweets Banjara,"Sweets, Desserts, Chaat, Snacks, Beverages",250.0,30% off | Use TRYNEW,4.3,20.0,TRYNEW
Taj Mahal-Abids,"North Indian, Chinese, South Indian",300.0,30% off | Use TRYNEW,4.3,20.0,TRYNEW
Homely,"Home Food, North Indian, South Indian, Beverages, Desserts, Thalis",200.0,60% off | Use TRYNEW,4.3,20.0,TRYNEW
Matwale Doodh Ghar,"Beverages, Juices, Desserts, Ice Cream",150.0,,4.1,20.0,
Habeeb's Fast Food,"Fast Food, Chinese, Mughlai",300.0,,4.1,20.0,
SRI MAHALAXMI REDDY BROTHERS TIFFIN CENTER,"South Indian, Chinese",200.0,,4.4,20.0,
Om Best Paratha,North Indian,200.0,40% off | Use GUILTFREE,4.0,20.0,GUILTFREE
Haldiram's Sweets and Namkeen,"Sweets, Bakery, Desserts",300.0,,4.2,20.0,
Angaara 5,"Tandoor, Biryani, Chinese",400.0,20% off | Use TRYNEW,4.0,20.0,TRYNEW
Kunafa Nation,Desserts,229.0,20% off | Use TRYNEW,4.0,20.0,TRYNEW
G Pulla Reddy Sweets,"Sweets, Desserts, Snacks",300.0,,4.5,20.0,
Sri Santosh Dhaba,"Biryani, North Indian, Chinese, Tandoor, Beverages",350.0,20% off | Use TRYNEW,3.9,20.0,TRYNEW
Jaggu Mithai,"Desserts, Biryani, Chaat",250.0,10% off | Use TRYNEW,4.2,20.0,TRYNEW
Saptami Grand - Udupi Veg Restaurant,"South Indian, Chinese, Desserts",200.0,FLAT100 off | Use FLATDEAL,4.3,20.0,FLATDEAL
Rambharose - Bhattad Ki Idli,South Indian,150.0,40% off | Use GUILTFREE,4.1,20.0,GUILTFREE
Mandi @36,Arabian,300.0,20% off | Use TRYNEW,4.0,20.0,TRYNEW
Taj Mahal Hotel,"North Indian, Chinese, South Indian, Tandoor",300.0,,4.2,20.0,
