Restaurant Name,Types of Food,Price,Discount,Rating,Discount_Percentage,Coupon_Code
Riyan Hotel,"Hyderabadi, Mughlai, Biryani, Indian, Chinese",300.0,40% off | Use TRYNEW,3.7,20.0,TRYNEW
Subway,"Salads, Snacks, Desserts, Beverages",350.0,20% off | Use TRYNEW,4.2,20.0,TRYNEW
Sher-E-Punjab Dhaba,"Indian, Biryani",350.0,,4.1,20.0,
Deccan Chef,"Haleem, Biryani, Mughlai, Chinese, Indian",150.0,Flat ₹125 off on orders above ₹249,4.1,20.0,
Let's Scoop Ice Cream Cafe,"Ice Cream, Pizzas, Desserts, Bakery, Beverages",200.0,40% off | Use GUILTFREE,4.3,20.0,GUILTFREE
TASTY AND QUICK PIZZA,"Pizzas, Fast Food, Snacks",400.0,,0.0,20.0,
Swiss Castle,"Bakery, Sweets, Desserts",500.0,25% off | Use TRYNEW,4.5,20.0,TRYNEW
Karthikeya Curry Express,"South Indian, Andhra",150.0,,4.3,20.0,
Asian Meal Box,"Asian, Chinese",200.0,FLAT125 off | Use FLATDEAL,3.8,20.0,FLATDEAL
Nrs Nandini Sudha,"South Indian, North Indian, Chinese, Juices, Beverages",150.0,20% off | Use TRYNEW,4.3,20.0,TRYNEW
Asoka Restaurant,"Biryani, Kebabs",450.0,20% off | Use TRYNEW,3.7,20.0,TRYNEW
Master Chef Restaurant,"North Indian, Chinese, Biryani",250.0,,3.7,20.0,
Nitchal Grand Restaurant,"North Indian, Chinese, Tandoor, Biryani",250.0,,4.0,20.0,
King Ghouse Restaurant,"Indian, Biryani",400.0,,3.9,20.0,
Sukha Sagara North Indian & Chinese,"North Indian, Chinese",300.0,40% off | Use TRYNEW,4.1,20.0,TRYNEW
Mahendra Fast Food Center,"Chinese, Fast Food, Indian",350.0,,4.5,20.0,
Mr Showarma,"Chinese, Fast Food, Snacks",500.0,50% off | Use TRYNEW,0.0,20.0,TRYNEW
Sri Jyothi Raghavendra Udupi Veg,"South Indian, Ice Cream, Juices",120.0,30% off | Use TRYNEW,3.8,20.0,TRYNEW
Stop N Eat Chicken Shawarma,Arabian,200.0,10% off | Use TRYNEW,3.9,20.0,TRYNEW
NITAI CHAND SWEETS AND BAKERY,Sweets,300.0,,0.0,20.0,
Wahh Chaap,"Biryani, North Indian, Pastas, Italian",300.0,20% off | Use TRYNEW,4.1,20.0,TRYNEW
Akbar Fast Food,"Indian, Seafood, Beverages",300.0,,3.5,20.0,
Momo Zone - The Momo Company,"Chinese, Tibetan, Fast Food",200.0,40% off | Use TRYNEW,4.0,20.0,TRYNEW
Rayalavari Gayatri Ruchulu,"South Indian, Chinese, Snacks, Biryani",300.0,40% off | Use PARTY,0.0,20.0,PARTY
Nrs Mamatha Darshini,"South Indian, Chinese",150.0,20% off | Use TRYNEW,4.4,20.0,TRYNEW
LASSI SHOP HUB,"Beverages, Ice Cream, Snacks",200.0,30% off | Use TRYNEW,3.6,20.0,TRYNEW
Y2K Restaurant,"North Indian, Chinese",300.0,30% off | Use TRYNEW,3.3,20.0,TRYNEW
klip2deal homefood,"North Indian, Indian, Desserts",200.0,15% off | Use TRYNEW,3.1,20.0,TRYNEW
Ramnagar Bawarchi,"Indian, Biryani",300.0,,3.5,20.0,
Mini Punjab,"South Indian, North Indian, Chinese, Punjabi",400.0,30% off | Use JUMBO,3.8,20.0,JUMBO
Faasos - Wraps & Rolls,"Fast Food, North Indian, Street Food, Desserts",200.0,,3.9,20.0,
Louis Burger,"Burgers, Fast Food, Beverages",600.0,Flat ₹150 off on orders above ₹799,4.3,20.0,
Pista House Tea,Beverages,150.0,20% off | Use TRYNEW,4.5,20.0,TRYNEW
Shahenshah Mandi,"Indian, Biryani, Desserts",400.0,30% off | Use TRYNEW,4.0,20.0,TRYNEW
Moon Light Kitchen,"Biryani, Chinese, Indian, Kebabs",200.0,50% off | Use TRYNEW,0.0,20.0,TRYNEW
Lo! - Low Carb and Keto Foods,"Healthy Food, Keto, North Indian, Continental",150.0,40% off | Use SPECIALS,4.2,20.0,SPECIALS
Punjabi Paratha House,"Punjabi, North Indian",200.0,40% off | Use TRYNEW,4.0,20.0,TRYNEW
Khichdi express,North Indian,250.0,30% off | Use TRYNEW,3.9,20.0,TRYNEW
Cafe Coffee Day,"Beverages, Snacks, Desserts",300.0,50% off | Use TRYNEW,3.9,20.0,TRYNEW
Mithaiwala,"Sweets, Desserts, Snacks, Chaat",400.0,40% off | Use TRYNEW,4.2,20.0,TRYNEW
FB Cakes,"Bakery, Sweets, Snacks",300.0,40% off | Use TRYNEW,3.8,20.0,TRYNEW
Swaad of South,"South Indian, North Indian, Chinese",300.0,15% off | Use PARTY,4.3,20.0,PARTY
Agra Mithai Ghar And Restaurant,"Sweets, Beverages, Chaat, Desserts",200.0,15% off | Use TRYNEW,4.1,20.0,TRYNEW
Coffee Cream,"Beverages, Fast Food, Italian, Snacks",200.0,,4.1,20.0,
Babai Express,"Snacks, South Indian, Telangana",200.0,,3.9,20.0,
Taiba's Madina Darbar,"Cafe, Snacks, Chinese, Beverages, North Indian",200.0,30% off | Use TRYNEW,3.9,20.0,TRYNEW
Hotel Firdous,"Biryani, Continental, Tandoor",200.0,,4.2,20.0,
Ohri's Eatmor,"Ice Cream, Beverages, Desserts, Chaat, Italian",600.0,10% off | Use PARTY,4.2,20.0,PARTY
Al Saud Bait Al Mandi,Arabian,250.0,,4.0,20.0,
Santosh Dhaba,"Biryani, North Indian, Punjabi",300.0,50% off | Use TRYNEW,3.7,20.0,TRYNEW
Surabhi Grand,"Mughlai, North Indian, Chinese, Seafood",300.0,FLAT100 off | Use FLATDEAL,4.1,20.0,FLATDEAL
Udipi's Upahar,"South Indian, North Indian, Chinese, Snacks",300.0,10% off | Use PARTY,4.2,20.0,PARTY
Patel's Delights,"Indian, Snacks, Sweets, Street Food",350.0,30% off | Use SPECIALS,4.6,20.0,SPECIALS
Rammy Fast Food,Fast Food,200.0,10% off | Use JUMBO,3.8,20.0,JUMBO
Captain Cook,"Chinese, Tandoor, Salads, Arabian",700.0,FLAT100 off | Use FLATDEAL,3.7,20.0,FLATDEAL
Fruitfull,Healthy Food,150.0,20% off | Use TRYNEW,4.2,20.0,TRYNEW
Theobroma,Desserts,300.0,,4.5,20.0,
Falooda Shop,"Desserts, Beverages",300.0,,0.0,20.0,
Mandi House Arabian Restaurant,Arabian,400.0,,3.8,20.0,
Cherry's Kitchen,"Arabian, Chinese, Beverages",200.0,,0.0,20.0,
SAFA MATAM AL MANDI,"Street Food, Arabian, Indian",600.0,,3.8,20.0,
Sri Santosh Dhaba,"Biryani, North Indian, Chinese, Tandoor, Beverages",350.0,20% off | Use TRYNEW,3.9,20.0,TRYNEW
Signature Juice And Grill Station,"Juices, Beverages, Fast Food, Snacks, Desserts",450.0,,0.0,20.0,
Zaika Bites,Indian,300.0,,3.6,20.0,
Bombay Chowpati,"Chaat, Juices",200.0,FLAT100 off | Use FLATDEAL,3.8,20.0,FLATDEAL
Balaji Mukesh Mithai Bhandar,"Sweets, Street Food",200.0,30% off | Use TRYNEW,4.3,20.0,TRYNEW
Lucky Multicuisine Restaurant,"Biryani, North Indian, Tandoor, South Indian",350.0,FLAT125 off | Use FLATDEAL,3.7,20.0,FLATDEAL
Lucky's Biryani House,"Biryani, Chinese, North Indian, South Indian, Tandoor, Hyderabadi, Continental, ...",400.0,50% off | Use TRYNEW,3.6,20.0,TRYNEW
Balaji Mithai bhandar,Sweets,300.0,,4.1,20.0,
Gourmet Ice Cream Cakes by Baskin Robbins,"Ice Cream Cakes, Desserts, Ice Cream, Bakery",300.0,30% off | Use TRYNEW,4.3,20.0,TRYNEW
Santosh Dhaba Jashan,"North Indian, Chinese, Italian",300.0,20% off | Use TRYNEW,4.1,20.0,TRYNEW
UBQ by Barbeque Nation,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",300.0,Flat 175 off | Use FLAT175,3.4,20.0,FLAT175
Lavish Corner,"Chinese, Indian, Beverages, Snacks",120.0,30% off | Use TRYNEW,3.9,20.0,TRYNEW
New York Waffles & Dinges,"Waffle, Desserts, Bakery, Beverages",300.0,Flat ₹125 off on orders above ₹249,3.5,20.0,
SALASAR CHAT AND TIFFIN CENTRE,"South Indian, Chaat, Fast Food",100.0,,4.2,20.0,
65 CORNER FAST FOOD,Chinese,250.0,,4.0,20.0,
Suprabath tiffins,South Indian,150.0,20% off | Use TRYNEW,4.2,20.0,TRYNEW
Smoke & Sizzle,"Chinese, Biryani, Tandoor",500.0,25% off | Use TRYNEW,4.1,20.0,TRYNEW
Sri Sai Veg Curry Point,"South Indian, Andhra",200.0,,4.2,20.0,
Starbucks Coffee,"Beverages, Cafe, Snacks, Desserts, Bakery, Ice Cream",400.0,40% off | Use TRYNEW,4.3,20.0,TRYNEW
MilletBowl By UrbanKisaan,"Mexican, Healthy Food, Salads",250.0,20% off | Use TRYNEW,4.1,20.0,TRYNEW
Polar Bear,"Ice Cream, Desserts",350.0,20% off | Use TRYNEW,3.8,20.0,TRYNEW
Drunken Biryani,Biryani,350.0,25% off | Use JUMBO,0.0,20.0,JUMBO
Sri Ruchulu,"South Indian, Beverages",150.0,20% off | Use TRYNEW,4.2,20.0,TRYNEW
Naseeb Hotel,"Indian, Biryani",200.0,,3.5,20.0,
Euphoria,"Desserts, Bakery",600.0,10% off | Use TRYNEW,4.7,20.0,TRYNEW
Slurpy Shakes,"Beverages, Ice Cream, Desserts",150.0,FLAT125 off | Use FLATDEAL,4.1,20.0,FLATDEAL
AV's Smokebox,"Barbecue, Biryani, Chinese",250.0,20% off | Use TRYNEW,4.3,20.0,TRYNEW
Mohini Restaurant,"Afghani, Biryani, Chinese, Mughlai, North Indian",300.0,,3.8,20.0,
Sandwich Eatery,Beverages,250.0,40% off | Use GUILTFREE,4.0,20.0,GUILTFREE
LunchBox - Meals and Thalis,"North Indian, Punjabi, Biryani, Healthy Food, Jain, Thalis, Indian, Mughlai, Des...",200.0,FLAT125 off | Use FLATDEAL,4.0,20.0,FLATDEAL
The Dessert Zone,"Bakery, Desserts, Ice Cream, Beverages",200.0,FLAT125 off | Use FLATDEAL,4.1,20.0,FLATDEAL
Spice 6 Global Dining,"Indian, Chinese, Arabian, Desserts, Lebanese, Biryani, North Indian",300.0,30% off | Use TRYNEW,4.2,20.0,TRYNEW
Sri Narsing Bhelpuri and Juice,"Chaat, Italian, Juices, Fast Food",200.0,,4.0,20.0,
Santosh Family Dhaba Pure Veg,"North Indian, Chinese, Biryani",400.0,40% off | Use TRYNEW,3.9,20.0,TRYNEW
Turkish Central,"Turkish, Arabian",200.0,30% off | Use TRYNEW,3.5,20.0,TRYNEW
Nakshatra Inn Multi Cuisine Restaurant,"Biryani, Chinese, North Indian, South Indian",300.0,20% off | Use TRYNEW,3.8,20.0,TRYNEW
Cakes11,"Bakery, Desserts",200.0,40% off | Use GUILTFREE,3.9,20.0,GUILTFREE
HI King Bakers,"Bakery, Chinese, American",300.0,,4.3,20.0,
Lassi & Falooda Co,"Beverages, Desserts, Ice Cream",250.0,FLAT125 off | Use FLATDEAL,3.3,20.0,FLATDEAL
Softy Den,Beverages,150.0,,4.2,20.0,
Chung Hua Restaurant,"Chinese, Asian, Thai, Seafood, Singaporean, Malaysian",300.0,,4.2,20.0,
Taiba Bakery & Cafe,"Bakery, Pizzas, Fast Food, South Indian, Beverages, Burgers",300.0,10% off | Use TRYNEW,4.3,20.0,TRYNEW
The Matter of Batter,Desserts,400.0,,4.3,20.0,
Sanjos Donuts,Desserts,250.0,FLAT100 off | Use FLATDEAL,3.9,20.0,FLATDEAL
HY-LINE,"Arabian, Biryani",400.0,,0.0,20.0,
The Kunafa Station,Arabian,250.0,30% off | Use TRYNEW,3.9,20.0,TRYNEW
Santosh Premium Dhaba,"North Indian, Biryani, Chinese, South Indian",400.0,40% off | Use TRYNEW,4.0,20.0,TRYNEW
URBAN TADKA-The terrace kitchen,"Chinese, Seafood",500.0,,3.8,20.0,
Roll Zone,Indian,300.0,20% off | Use TRYNEW,3.9,20.0,TRYNEW
Balaji Ram Ratan mithai Bhandar,Snacks,100.0,,4.2,20.0,
50 Fruits,"Juices, Beverages",150.0,,4.1,20.0,
Andhra Meal Co,Andhra,200.0,50% off on all orders,3.4,20.0,
Amogh Multicuisine Restaurant,"Biryani, Chinese, Street Food",350.0,20% off | Use TRYNEW,4.0,20.0,TRYNEW
Paratha Wala,North Indian,150.0,FLAT100 off | Use FLATDEAL,4.0,20.0,FLATDEAL
Pagal Panda,"Chinese, North Indian",400.0,50% off | Use TRYNEW,3.8,20.0,TRYNEW
Thick shakes 24/7,Beverages,300.0,50% off on all orders,0.0,20.0,
Shahji Ka Dhaba,"North Indian, Chinese",400.0,Free Biryani Rice on orders above ₹669,4.2,20.0,
Shahji Ka Dhaba,"North Indian, Chinese",400.0,Free Biryani Rice on orders above ₹669,4.2,20.0,
Bench Cafe & Chinese Restaurant,"Chinese, Italian",500.0,,4.3,20.0,
TEJU MESS,South Indian,200.0,,4.0,20.0,
SHREE LALLA DHABA,North Indian,350.0,40% off | Use TRYNEW,4.0,20.0,TRYNEW
Nrs Anand Tiffins,South Indian,150.0,20% off | Use TRYNEW,4.0,20.0,TRYNEW
Parampara - Flavours of India,"North Indian, South Indian, Chinese",450.0,,4.2,20.0,
The Exotic Shawarma,Arabian,250.0,,4.1,20.0,
Dine Hill,"Arabian, Biryani, North Indian, Chinese",400.0,15% off | Use PARTY,4.0,20.0,PARTY
Prowl Foods By Tiger Shroff,"North Indian, Continental, Chinese, Snacks, Healthy Food, Salads",500.0,Flat ₹100 off on orders above ₹399,3.8,20.0,
KAPOOR'S CAFE,North Indian,400.0,,4.0,20.0,
Behrouz Biryani,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebabs, North Indian, Persian, Desserts",500.0,40% off | Use GUILTFREE,3.8,20.0,GUILTFREE
Marathi Katta,Maharashtrian,150.0,,4.2,20.0,
Hotel Brundavan Pride,"North Indian, Chinese, Biryani",400.0,,4.2,20.0,
Harley's Fine Baking,"Desserts, Fast Food, Bakery, Sweets, Snacks",500.0,20% off | Use TRYNEW,4.1,20.0,TRYNEW
Balaji sitaram mithai bhandar,"Sweets, Fast Food",150.0,,4.1,20.0,
Scoops Tiffin,South Indian,100.0,,4.2,20.0,
New Singh's -Veg Restaurant,"North Indian, Chinese",350.0,15% off | Use TRYNEW,4.2,20.0,TRYNEW
Shanbhag Hotel,"North Indian, South Indian, Chinese, Biryani, Thalis, Fast Food",300.0,25% off | Use TRYNEW,4.1,20.0,TRYNEW
Sahadeva Reddy Tiffins,South Indian,150.0,30% off | Use TRYNEW,4.2,20.0,TRYNEW
Stop n Go,Bakery,200.0,,4.2,20.0,
Papadams Restaurant,"Biryani, Chinese, Andhra, North Indian, South Indian, Tandoor",500.0,40% off | Use TRYNEW,3.8,20.0,TRYNEW
BLAH BLAH,"Biryani, Chinese, Seafood, Lebanese",500.0,20% off | Use TRYNEW,3.1,20.0,TRYNEW
SOHANLAL TEA TIME,"Beverages, South Indian",160.0,,4.3,20.0,
Balaji Dinesh Mithai bhandar,"Sweets, Snacks",200.0,30% off | Use TRYNEW,4.1,20.0,TRYNEW
THE MILKSHAKE SHOP,"Beverages, Desserts",300.0,15% off | Use TRYNEW,3.3,20.0,TRYNEW
DESI ROLLS,"Fast Food, Snacks",200.0,50% off | Use TRYNEW,3.1,20.0,TRYNEW
Agra Sweets,"Sweets, Bakery",200.0,,3.6,20.0,
Sivarama reddy sweets,Sweets,500.0,10% off | Use TRYNEW,4.4,20.0,TRYNEW
Mumbai Masalaa,"North Indian, Chinese, South Indian",300.0,10% off | Use PARTY,4.3,20.0,PARTY
Sampradaya Foods,"Sweets, Desserts",450.0,,4.4,20.0,
All Day Parathas,North Indian,300.0,FLAT125 off | Use FLATDEAL,4.3,20.0,FLATDEAL
Theobroma,Desserts,300.0,,4.5,20.0,
Mandi House Arabian Restaurant,Arabian,400.0,,3.8,20.0,
Hameedi Confectioners,Sweets,300.0,,4.5,20.0,
Shree Ganesh Darshini,South Indian,150.0,,3.8,20.0,
CAKES KABOOM,"Bakery, Desserts",250.0,Free Butterscotch Cupcake on orders above ₹479,3.9,20.0,
Sultan Darbar,"Biryani, Chinese, Tandoor, North Indian, Desserts",300.0,15% off | Use TRYNEW,4.1,20.0,TRYNEW
Al madina,Indian,100.0,,4.0,20.0,
Soul Rasa,"Indian, Healthy Food, Home Food, North Indian, South Indian",300.0,FLAT150 off | Use FLATDEAL,4.0,20.0,FLATDEAL
Kung Pao Kitchen,Chinese,300.0,40% off | Use GUILTFREE,4.1,20.0,GUILTFREE
Amaravathi Restaurant,"North Indian, Chinese",400.0,FLAT100 off | Use FLATDEAL,4.2,20.0,FLATDEAL
Starboy Pizza & Shakes,"Pizzas, Italian, Desserts, Beverages",300.0,Flat ₹125 off on orders above ₹249,3.8,20.0,
A.s Deccan chai & milkshakes,Indian,40.0,,0.0,20.0,
Chicha's,"Biryani, Hyderabadi, Indian, Street Food",200.0,,3.8,20.0,
MANDI TOWN,"Arabian, Chinese, Tandoor",500.0,20% off | Use TRYNEW,3.8,20.0,TRYNEW
Ohri's Cake Nation,"Desserts, Bakery",600.0,Flat ₹150 off on orders above ₹399,4.3,20.0,
Banjara9 Restaurants,"South Indian, Indian, Tandoor, Kebabs, Seafood, Chinese, Biryani, Desserts",400.0,20% off | Use TRYNEW,4.1,20.0,TRYNEW
Sri Shagun Mithai Vatika,"Desserts, Sweets",200.0,,4.1,20.0,
Sha Sha - Shandaar Shawarma,"Arabian, Snacks",300.0,15% off | Use PARTY,3.9,20.0,PARTY
Farmbowl By Urbankisaan,"Mexican, Healthy Food, Salads",300.0,20% off | Use TRYNEW,4.2,20.0,TRYNEW
Faasos' Signature Wraps & Rolls,"Snacks, Beverages, Desserts",350.0,40% off | Use TRYNEW,3.9,20.0,TRYNEW
Kebabieu,"Indian, Beverages",200.0,,0.0,20.0,
SRI RAMAKRISHNA REDDY PURE GHEE SWEETS,"Sweets, Snacks",400.0,,4.3,20.0,
CITY SPARK RESTAURANT,"North Indian, Chinese, Biryani, Arabian, Tandoor, Snacks",400.0,,4.0,20.0,
sri laxmidevi pindivantalu,"Snacks, Desserts",700.0,,0.0,20.0,
Alhamdulilah Juice Centre,Beverages,150.0,,3.3,20.0,
Meethe Miya,"Desserts, Sweets",300.0,,4.2,20.0,
Pakka local,"Indian, Chinese, Continental",500.0,,4.0,20.0,
Biryanis And More,"Biryani, Chinese, Tandoor",350.0,40% off | Use TRYNEW,3.7,20.0,TRYNEW
The Milkshake Factory,"Beverages, Desserts",300.0,50% off | Use TRYNEW,3.9,20.0,TRYNEW
Seventh Heaven Restaurant ,"Biryani, Indian, Chinese, Tandoor",600.0,,4.0,20.0,
Peshawar Restaurant,"Indian, Biryani",450.0,,4.0,20.0,
GARDEN STREET KITCHEN,"Biryani, Chinese, Snacks",200.0,30% off | Use TRYNEW,3.8,20.0,TRYNEW
Hotel Akshaya,"North Indian, Chinese, Tandoor, South Indian",300.0,,4.3,20.0,
Arabian Shawarma,Arabian,200.0,30% off | Use TRYNEW,3.7,20.0,TRYNEW
Samosa Singh,"Snacks, North Indian, Juices, Beverages",100.0,20% off | Use TRYNEW,4.3,20.0,TRYNEW
SHUBLAXMI DHABA,"Beverages, North Indian",150.0,,3.9,20.0,
Lassi Shop - Malakpet,Ice Cream,100.0,,3.4,20.0,
pizza fun,"Pizzas, American",200.0,50% off | Use TRYNEW,0.0,20.0,TRYNEW
Nani's Dosa,South Indian,300.0,,4.1,20.0,
Turkish Medbhee Restaurant,"Arabian, North Indian",500.0,15% off | Use TRYNEW,3.9,20.0,TRYNEW
Mithai Mandir,South Indian,300.0,,3.8,20.0,
Tara,"Chinese, Italian",300.0,,4.1,20.0,
Angaara,"Biryani, Chinese, Tandoor, Indian",250.0,10% off | Use TRYNEW,3.9,20.0,TRYNEW
Ibaco,"Ice Cream, Desserts",300.0,,4.3,20.0,
Sahadeva Reddy's Southern Spice,South Indian,200.0,30% off | Use TRYNEW,4.3,20.0,TRYNEW
K&C Bakers &confectioners,Bakery,200.0,15% off | Use PARTY,4.2,20.0,PARTY
The Good Bowl,"North Indian, Punjabi, Biryani, Chinese, Beverages, Desserts, Jain, Indian, Hyde...",400.0,40% off | Use TRYNEW,3.8,20.0,TRYNEW
Garam Masala,"North Indian, Chinese, Biryani",300.0,,3.8,20.0,
Sarvi Restaurant and Bakery,"Fast Food, Chinese, Desserts",350.0,20% off | Use TRYNEW,4.2,20.0,TRYNEW
Millet Express,"Healthy Food, South Indian, North Indian, Biryani, Chinese, Beverages",200.0,40% off | Use TRYNEW,4.1,20.0,TRYNEW
Chai Point,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",150.0,50% off | Use GUILTFREE,4.1,20.0,GUILTFREE
Burger Division,"Snacks, American",500.0,50% off | Use TRYNEW,4.1,20.0,TRYNEW
The Biryani Life,"Biryani, North Indian, Chinese",250.0,,3.8,20.0,
Jai Bhavani Spicy Hot Fast Food Centre,"Street Food, Indian, Chinese",100.0,,3.7,20.0,
Snazzy Ice Cream,"Ice Cream, Desserts, Ice Cream Cakes, Beverages",150.0,,3.7,20.0,
Burger It Up,"Burgers, Beverages, Desserts, American, Cafe",150.0,40% off | Use TRYNEW,4.1,20.0,TRYNEW
Shahi Zaiqa,"Biryani, North Indian, Chinese",300.0,40% off | Use TRYNEW,3.5,20.0,TRYNEW
The Brooklyn Creamery - Healthy Ice Cream,"Desserts, Ice Cream, Healthy Food",200.0,,4.4,20.0,
Dum Safar Biryani,"Biryani, Kebabs, Tandoor, Indian, Desserts",500.0,50% off | Use TRYNEW,0.0,20.0,TRYNEW
CRISPY CRUST,"Beverages, Fast Food, Ice Cream, Italian, Juices",300.0,,4.0,20.0,
Safeena Cakes And Bakes,"Bakery, Pizzas",150.0,,3.9,20.0,
Spicy Bucket Biryani,Biryani,450.0,30% off | Use TRYNEW,0.0,20.0,TRYNEW
Deccan Chinese Fast Food,Chinese,200.0,,3.7,20.0,
Nice Tiffins,South Indian,200.0,30% off | Use TRYNEW,4.1,20.0,TRYNEW
THE PORK AFFAIR,North Indian,450.0,,3.9,20.0,
Tajis Food Court,"Indian, South Indian, Chinese, Arabian",2.0,,3.8,20.0,
Krishna Idli and Dosa,"South Indian, Chinese, Pizzas, Andhra, Hyderabadi, Maharashtrian, Salads, Bevera...",250.0,,3.8,20.0,
Natural fruits Juices & Salads,"Beverages, Snacks",100.0,20% off | Use TRYNEW,0.0,20.0,TRYNEW
Balaji Jai Narayan Mithai Bhandar,Sweets,200.0,20% off | Use TRYNEW,3.8,20.0,TRYNEW
Third Wave Coffee,"Beverages, Cafe, Desserts",400.0,30% off | Use TRYNEW,4.4,20.0,TRYNEW
Sri Sai Pan Milan	,Paan,100.0,10% off | Use TRYNEW,0.0,20.0,TRYNEW
Chattu Ram Yadav Milk Shop,"North Indian, Chinese, Biryani, Beverages",150.0,,4.2,20.0,
Hive Honey Cake,Bakery,150.0,,4.4,20.0,
Haji Ali Juice Center,"Juices, Snacks, Pizzas, Chaat, Fast Food",200.0,25% off | Use TRYNEW,3.9,20.0,TRYNEW
Pure Veg Meals by Lunchbox,"North Indian, Desserts, Biryani",200.0,50% off | Use TRYNEW,4.1,20.0,TRYNEW
Sri Jai Durga Restaurant,"Biryani, Andhra",300.0,20% off | Use TRYNEW,3.6,20.0,TRYNEW
Jalpaan,"North Indian, Chinese, Continental, Italian",500.0,FLAT150 off | Use FLATDEAL,3.9,20.0,FLATDEAL
Burhanpur Khowa Jalebi,"Desserts, Sweets",200.0,15% off | Use TRYNEW,4.3,20.0,TRYNEW
Tabla,"North Indian, Chinese, South Indian",600.0,20% off | Use TRYNEW,4.1,20.0,TRYNEW
Miami Waffle & Jawbreakers,"Waffle, Desserts, Beverages",200.0,Flat ₹125 off on orders above ₹249,3.7,20.0,
Saini Fast Food,"North Indian, Chinese",300.0,,4.1,20.0,
Taj Bakery,Bakery,200.0,,3.8,20.0,
NEW SHALIMAR SWEETS AND BAKERY,Sweets,200.0,,0.0,20.0,
Cupcake Bliss Cake & Desserts,"Bakery, Desserts, Ice Cream, Beverages",200.0,FLAT125 off | Use FLATDEAL,4.0,20.0,FLATDEAL
Kitchen Flavours,Indian,300.0,,3.4,20.0,
Delight Delicious,"Chinese, Italian, Desserts, Chaat",280.0,,3.4,20.0,
Vijay curries and fast food centre,"South Indian, Indian, Chinese",100.0,,4.0,20.0,
KESHAVAM RESTAURANT,"Chinese, South Indian, North Indian",200.0,20% off | Use TRYNEW,0.0,20.0,TRYNEW
Ohri's Gufaa,North Indian,400.0,10% off | Use PARTY,4.1,20.0,PARTY
Old Mumbai Ice Cream,Ice Cream,200.0,,4.1,20.0,
De' Cafe Studio,"Continental, American, Italian",300.0,,3.9,20.0,
EXPRESS BY AB'S,"North Indian, Chinese",400.0,50% off | Use TRYNEW,3.6,20.0,TRYNEW
Simrats Dhaba,"North Indian, Chinese",300.0,20% off | Use TRYNEW,4.1,20.0,TRYNEW
Burger Hub's,"Desserts, Beverages",300.0,,3.6,20.0,
Shabab Bait Al Mandi,Arabian,500.0,,4.0,20.0,
Mahalaxmi Tiffin Centre,Indian,200.0,,4.0,20.0,
Chili's American Grill & Bar,"American, Mexican",700.0,60% off | Use TRYNEW,4.0,20.0,TRYNEW
Saravana Udupi Hotel,South Indian,150.0,FLAT100 off | Use FLATDEAL,4.2,20.0,FLATDEAL
Sri Sai Baba Tiffin Centre,South Indian,120.0,10% off | Use TRYNEW,0.0,20.0,TRYNEW
7 Hills Home Foods,"Indian, Snacks, Juices",100.0,10% off | Use TRYNEW,0.0,20.0,TRYNEW
Amrit Juice center,"Juices, Beverages, Ice Cream",250.0,,0.0,20.0,
Vadapav & More,"Street Food, Snacks",250.0,30% off | Use TRYNEW,3.2,20.0,TRYNEW
Brothers Bakery & Fast Food,Chinese,180.0,,0.0,20.0,
TEA TIME,Beverages,200.0,,4.1,20.0,
D-Lite Frankie,Indian,200.0,,3.8,20.0,
Offer Adda,Snacks,300.0,,0.0,20.0,
PVR Cafe,"Snacks, Fast Food, Beverages",400.0,Flat ₹125 off on orders above ₹249,3.9,20.0,
Cyan cafe,"American, Pizzas, Fast Food",400.0,FLAT100 off | Use FLATDEAL,3.6,20.0,FLATDEAL
3MG FAMILY RESTAURANT,"South Indian, Snacks, Juices, Beverages, Ice Cream, Sweets",100.0,10% off | Use TRYNEW,3.7,20.0,TRYNEW
Waffles & Dinges,Waffle,249.0,20% off | Use TRYNEW,0.0,20.0,TRYNEW
Badam House,"Fast Food, Snacks",400.0,,0.0,20.0,
EK PYALI CHAI,"Beverages, Chaat, Desserts, Fast Food, Juices",150.0,,3.9,20.0,
Mithas Sweets And Kashi Restaurant,"Biryani, Indian, Chinese",500.0,,0.0,20.0,
SRI LAKSHMI FOOD COURT,Chinese,200.0,,0.0,20.0,
US Pizza,"Italian, Pizzas, Beverages, Desserts",200.0,30% off | Use PARTY,3.0,20.0,PARTY
Maalgaadi by Dhaba Estd 1986 Delhi,"North Indian, Indian, Biryani, Punjabi, Kebabs, Grill, Mughlai, Desserts",300.0,10% off | Use PARTY,4.0,20.0,PARTY
Laxmi Balaji Santosh Family Dhaba,"North Indian, Chinese, Tandoor",400.0,,4.3,20.0,
99 Pancakes,"Desserts, Beverages",300.0,,3.8,20.0,
Churrolto,"Desserts, Italian, Mexican",700.0,,4.3,20.0,
Sarkar's kitchen,"Bengali, Biryani",600.0,,4.2,20.0,
Chaayos Chai+Snacks=Relax,"Bakery, Beverages, Chaat, Desserts, Home Food, Italian, Maharashtrian, Snacks, S...",250.0,50% off | Use TRYNEW,4.3,20.0,TRYNEW
